Genus,Species,NofFiles,NBDC,UBC,Yorku,UoA,GlobalBiodiversity,Ecdysis,N_NBDC_samples
Coelioxys,Coelioxys banksi,0,0,0,0,0,0,0,0
Coelioxys,Coelioxys edita,0,0,0,0,0,0,0,0
Coelioxys,Coelioxys funeraria,0,0,0,0,0,0,0,0
Coelioxys,Coelioxys grindeliae,0,0,0,0,0,0,0,0
Coelioxys,Coelioxys moesta,0,0,0,0,0,0,0,0
Coelioxys,Coelioxys octodentata,0,0,0,0,0,0,0,0
Coelioxys,Coelioxys porterae,0,0,0,0,0,0,0,0
Coelioxys,Coelioxys rufitarsis,0,0,0,0,0,0,0,0
Coelioxys,Coelioxys sodalis,0,0,0,0,0,0,0,0
Colletes,Colletes aberrans,0,0,0,0,0,0,0,0
Colletes,Colletes consors,0,0,0,0,0,0,0,0
Colletes,Colletes fulgidus,0,0,0,0,0,0,0,0
Colletes,Colletes hyalinus,0,0,0,0,0,0,0,0
Colletes,Colletes impunctatus,0,0,0,0,0,0,0,0
Colletes,Colletes kincaidii,0,0,0,0,0,0,0,0
Colletes,Colletes nigrifrons,0,0,0,0,0,0,0,0
Colletes,Colletes petalostemonis,0,0,0,0,0,0,0,0
Colletes,Colletes phaceliae,0,0,0,0,0,0,0,0
Colletes,Colletes rufocinctus,0,0,0,0,0,0,0,0
Colletes,Colletes simulans,0,0,0,0,0,0,0,0
Colletes,Colletes susannae,0,0,0,0,0,0,0,0
Diadasia,Diadasia australis,0,0,0,0,0,0,0,0
Diadasia,Diadasia diminuta,0,0,0,0,0,0,0,0
Diadasia,Diadasia sp,4,0,4,0,0,0,0,0
Dianthidium,Dianthidium curvatum,0,0,0,0,0,0,0,0
Dianthidium,Dianthidium pudicum,0,0,0,0,0,0,0,0
Dufourea,Dufourea dilatipes,0,0,0,0,0,0,0,0
Dufourea,Dufourea harveyi,0,0,0,0,0,0,0,0
Dufourea,Dufourea holocyanea,0,0,0,0,0,0,0,0
Dufourea,Dufourea marginata,0,0,0,0,0,0,0,0
Dufourea,Dufourea maura,0,0,0,0,0,0,0,0
Epeolus,Epeolus ainsliei,0,0,0,0,0,0,0,0
Epeolus,Epeolus americanus,0,0,0,0,0,0,0,0
Epeolus,Epeolus compactus,0,0,0,0,0,0,0,0
Epeolus,Epeolus lutzi,0,0,0,0,0,0,0,0
Epeolus,Epeolus minimus,0,0,0,0,0,0,0,0
Eucera,Eucera fulvitarsis,3,0,3,0,0,0,0,0
Eucera,Eucera speciosa,0,0,0,0,0,0,0,0
Halictus,Halictus confusus,1,0,0,0,1,0,0,0
Halictus,Halictus ligatus,1,0,0,0,1,0,0,0
Halictus,Halictus rubicundus,1,0,0,0,1,0,0,3
Halictus,Halictus tripartitus,0,0,0,0,0,0,0,0
Halictus,Halictus virgatellus,0,0,0,0,0,0,0,0
Heriades,Heriades carinata,2,0,0,2,0,0,0,0
Heriades,Heriades variolosa,2,0,0,2,0,0,0,0
Holcopasites,Holcopasites heliopsis,0,0,0,0,0,0,0,0
Holcopasites,Holcopasites pulchellus,0,0,0,0,0,0,0,0
Holcopasites,Holcopasites stevensi,0,0,0,0,0,0,0,0
Hoplitis,Hoplitis albifrons,2,0,0,2,0,0,0,0
Hoplitis,Hoplitis fulgida,2,0,0,2,0,0,0,0
Hoplitis,Hoplitis pilosifrons,1,0,0,1,0,0,0,0
Hoplitis,Hoplitis producta,2,0,0,2,0,0,0,1
Hoplitis,Hoplitis robusta,2,0,0,2,0,0,0,0
Hoplitis,Hoplitis spoliata,2,0,0,2,0,0,0,0
Hylaeus,Hylaeus affinis,0,0,0,0,0,0,0,0
Hylaeus,Hylaeus annulatus,0,0,0,0,0,0,0,0
Hylaeus,Hylaeus basalis,0,0,0,0,0,0,0,0
Hylaeus,Hylaeus episcopalis,0,0,0,0,0,0,0,0
Hylaeus,Hylaeus gaigel,0,0,0,0,0,0,0,0
Hylaeus,Hylaeus granulatus,0,0,0,0,0,0,0,0
Hylaeus,Hylaeus leptocephalus,0,0,0,0,0,0,0,0
Hylaeus,Hylaeus mesillae,0,0,0,0,0,0,0,0
Hylaeus,Hylaeus modestus,0,0,0,0,0,0,0,0
Hylaeus,Hylaeus verticalis,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum aberrans,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum abundipunctum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum acuminatum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum albipenne,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum albohirtum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum anomalum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum athabascence,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum cinctipes,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum colatum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum cooleyi,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum coriaceum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum cressonii,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum diatretum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum dreisbachi,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum ebmerellum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum egregium,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum hudsoniellum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum imbrex,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum imitatum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum incompletum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum inconditum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum knereri,0,0,0,0,0,0,0,0
