Genus,Species,NofFiles,NBDC,UBC,Yorku,UoA,GlobalBiodiversity,Ecdysis,N_NBDC_samples
Andrena,Andrena scutellinitens,0,0,0,0,0,0,0,0
Andrena,Andrena sigmundi,0,0,0,0,0,0,0,0
Andrena,Andrena striatifrons,0,0,0,0,0,0,0,0
Andrena,Andrena surda,0,0,0,0,0,0,0,0
Andrena,Andrena thaspii,3,3,0,0,0,0,0,5
Andrena,Andrena topazana,0,0,0,0,0,0,0,0
Andrena,Andrena trevoris,0,0,0,0,0,0,0,0
Andrena,Andrena trizonata,0,0,0,0,0,0,0,0
Andrena,Andrena vicina,4,4,0,0,0,0,0,0
Andrena,Andrena vicinoides,0,0,0,0,0,0,0,0
Andrena,Andrena w-scripta,3,3,0,0,0,0,0,0
Andrena,Andrena wellesleyana,3,3,0,0,0,0,0,0
Andrena,Andrena wheeleri,7,7,0,0,0,0,0,0
Anthidium,Anthidium clypeodentatum,0,0,0,0,0,0,0,0
Anthidium,Anthidium emarginatum,0,0,0,0,0,0,0,0
Anthidium,Anthidium manicatum,9,9,0,0,0,0,0,0
Anthidium,Anthidium porterae,6,6,0,0,0,0,0,0
Anthidium,Anthidium tenuiflorae,2,2,0,0,0,0,0,0
Anthophora,Anthophora bomboides,15,8,7,0,0,0,0,0
Anthophora,Anthophora occidentalis,12,5,7,0,0,0,0,0
Anthophora,Anthophora peritomae,4,0,4,0,0,0,0,0
Anthophora,Anthophora porterae,1,1,0,0,0,0,0,0
Anthophora,Anthophora terminalis,29,6,6,0,0,0,0,34
Anthophora,Anthophora ursina,11,7,4,0,0,0,0,0
Apis,Apis mellifera,32,18,6,0,0,0,0,71
Bombus,Bombus (Psithyrus) bohemicus,3,0,3,0,0,0,0,0
Bombus,Bombus (Psithyrus) flavidus,6,0,6,0,0,0,0,0
Bombus,Bombus (Psithyrus) insularis,8,0,7,0,1,0,0,0
Bombus,Bombus (Psithyrus) suckleyi,14,0,10,0,1,0,0,0
Bombus,Bombus appositus,6,0,6,0,0,0,0,0
Bombus,Bombus balteatus,0,0,0,0,0,0,0,0
Bombus,Bombus bifarius,14,8,0,0,0,0,0,0
Bombus,Bombus borealis,13,0,6,0,1,0,0,1
Bombus,Bombus centralis,13,0,6,0,1,0,0,1
Bombus,Bombus cryptarum,9,0,3,0,0,0,0,3
Bombus,Bombus fervidus,21,5,9,0,1,0,0,0
Bombus,Bombus flavifrons,31,2,7,0,1,0,0,166
Bombus,Bombus frigidus,3,0,3,0,0,0,0,0
Bombus,Bombus griseocollis,14,5,3,0,0,0,0,1
Bombus,Bombus huntii,8,4,3,0,1,0,0,0
Bombus,Bombus melanopygus,19,6,6,0,1,0,0,0
Bombus,Bombus mixtus,13,0,6,0,1,0,0,0
Bombus,Bombus nevadensis,26,5,6,0,1,0,0,1
Bombus,Bombus occidentalis,6,3,3,0,0,0,0,0
Bombus,Bombus pensylvanicus,9,0,3,0,0,0,0,1
